item_id,item_type,source_table,source_id,item_label,current_value,knowledge_status,knowledge_method,evidence_level,recommended_sources,rationale,direct_expert_validation,optional_expert_review
KVI-0017,ingredient_master,ingredients_master.csv,17,Centella Asiatica Extract,group=soothing_agent; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0018,ingredient_master,ingredients_master.csv,18,Madecassoside,group=soothing_agent; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0019,ingredient_master,ingredients_master.csv,19,Bisabolol,group=soothing_agent; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0020,ingredient_master,ingredients_master.csv,20,Camellia Sinensis Leaf Extract,group=soothing_agent; function=antioxidant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0021,ingredient_master,ingredients_master.csv,21,Avena Sativa Kernel Extract,group=soothing_agent; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0022,ingredient_master,ingredients_master.csv,22,Zinc PCA,group=active; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0023,ingredient_master,ingredients_master.csv,23,Kaolin,group=absorbent; function=absorbent,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0024,ingredient_master,ingredients_master.csv,24,Charcoal Powder,group=absorbent; function=absorbent,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0025,ingredient_master,ingredients_master.csv,25,Salicylic Acid,group=exfoliant; function=keratolytic,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0026,ingredient_master,ingredients_master.csv,26,Azelaic Acid,group=active; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0027,ingredient_master,ingredients_master.csv,27,Sulfur,group=active; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0028,ingredient_master,ingredients_master.csv,28,Lactic Acid,group=exfoliant; function=exfoliant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0029,ingredient_master,ingredients_master.csv,29,Mandelic Acid,group=exfoliant; function=exfoliant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0030,ingredient_master,ingredients_master.csv,30,Glycolic Acid,group=exfoliant; function=exfoliant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0031,ingredient_master,ingredients_master.csv,31,Gluconolactone,group=exfoliant; function=exfoliant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0032,ingredient_master,ingredients_master.csv,32,Lactobionic Acid,group=exfoliant; function=exfoliant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0033,ingredient_master,ingredients_master.csv,33,Ascorbyl Glucoside,group=active; function=antioxidant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0034,ingredient_master,ingredients_master.csv,34,Sodium Ascorbyl Phosphate,group=active; function=antioxidant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0035,ingredient_master,ingredients_master.csv,35,Magnesium Ascorbyl Phosphate,group=active; function=antioxidant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0036,ingredient_master,ingredients_master.csv,36,Alpha-Arbutin,group=active; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0037,ingredient_master,ingredients_master.csv,37,Glycyrrhiza Glabra Root Extract,group=soothing_agent; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0038,ingredient_master,ingredients_master.csv,38,Tranexamic Acid,group=active; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0039,ingredient_master,ingredients_master.csv,39,Tocopherol,group=active; function=antioxidant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0040,ingredient_master,ingredients_master.csv,40,Retinyl Palmitate,group=active; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0041,ingredient_master,ingredients_master.csv,41,Bakuchiol,group=active; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0042,ingredient_master,ingredients_master.csv,42,Adenosine,group=active; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0043,ingredient_master,ingredients_master.csv,43,Caffeine,group=active; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0044,ingredient_master,ingredients_master.csv,44,Zinc Oxide,group=sunscreen_filter; function=uv filter,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0045,ingredient_master,ingredients_master.csv,45,Titanium Dioxide,group=sunscreen_filter; function=uv filter,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0046,ingredient_master,ingredients_master.csv,46,Avobenzone,group=sunscreen_filter; function=uv filter,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0047,ingredient_master,ingredients_master.csv,47,Octocrylene,group=sunscreen_filter; function=uv filter,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0048,ingredient_master,ingredients_master.csv,48,Bemotrizinol,group=sunscreen_filter; function=uv filter,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0049,ingredient_master,ingredients_master.csv,49,Bisoctrizole,group=sunscreen_filter; function=uv filter,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0050,ingredient_master,ingredients_master.csv,50,Diethylamino Hydroxybenzoyl Hexyl Benzoate,group=sunscreen_filter; function=uv filter,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0051,ingredient_master,ingredients_master.csv,51,Ethylhexyl Triazone,group=sunscreen_filter; function=uv filter,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0052,ingredient_master,ingredients_master.csv,52,Fragrance,group=fragrance; function=perfuming,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0053,ingredient_master,ingredients_master.csv,53,Limonene,group=fragrance; function=perfuming,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0054,ingredient_master,ingredients_master.csv,54,Linalool,group=fragrance; function=perfuming,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0055,ingredient_master,ingredients_master.csv,55,Citral,group=fragrance; function=perfuming,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0056,ingredient_master,ingredients_master.csv,56,Geraniol,group=fragrance; function=perfuming,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0057,ingredient_master,ingredients_master.csv,57,Alcohol Denat.,group=solvent; function=solvent,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0058,ingredient_master,ingredients_master.csv,58,Menthol,group=cooling_agent; function=refreshing,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0059,ingredient_master,ingredients_master.csv,59,Peppermint Oil,group=essential_oil; function=perfuming,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0060,ingredient_master,ingredients_master.csv,60,Lavandula Angustifolia Oil,group=essential_oil; function=perfuming,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0061,ingredient_master,ingredients_master.csv,61,Eucalyptus Globulus Leaf Oil,group=essential_oil; function=perfuming,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0062,ingredient_master,ingredients_master.csv,62,Melaleuca Alternifolia Leaf Oil,group=essential_oil; function=perfuming,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0063,ingredient_master,ingredients_master.csv,63,Aqua,group=solvent; function=solvent,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0064,ingredient_master,ingredients_master.csv,64,Dimethicone,group=occlusive; function=skin protectant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0065,ingredient_master,ingredients_master.csv,65,Petrolatum,group=occlusive; function=skin protectant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0066,ingredient_master,ingredients_master.csv,66,Mineral Oil,group=emollient; function=emollient,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0067,ingredient_master,ingredients_master.csv,67,Caprylic/Capric Triglyceride,group=emollient; function=emollient,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0068,ingredient_master,ingredients_master.csv,68,Cetearyl Alcohol,group=emollient; function=emollient,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0069,ingredient_master,ingredients_master.csv,69,Cetyl Alcohol,group=emollient; function=emollient,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0070,ingredient_master,ingredients_master.csv,70,Stearyl Alcohol,group=emollient; function=emollient,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0071,ingredient_master,ingredients_master.csv,71,Butylene Glycol,group=humectant; function=humectant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0072,ingredient_master,ingredients_master.csv,72,Propanediol,group=humectant; function=humectant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0073,ingredient_master,ingredients_master.csv,73,Dipropylene Glycol,group=humectant; function=solvent,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0074,ingredient_master,ingredients_master.csv,74,Trehalose,group=humectant; function=humectant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0075,ingredient_master,ingredients_master.csv,75,Betaine,group=humectant; function=humectant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0076,ingredient_master,ingredients_master.csv,76,Xylitol,group=humectant; function=humectant,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
KVI-0077,ingredient_master,ingredients_master.csv,77,Arginine,group=active; function=skin conditioning,source_documented,trusted_source_literature_review,source_supported_seed,CosIng;COSMILE;CosmeticsInfo;Open Beauty Facts,"Nama, kategori, dan fungsi ingredient disusun dari seed terkurasi serta dicocokkan dengan sumber kosmetik tepercaya bila tersedia.",not_performed,available_if_required
